Data_Exportacao,Tipo_Busca,Total_Resultados,Filtros_Aplicados,People/PEOP,Status_Loja,LOJAS,CODIGO,ENDEREÇO,BAIRRO,CIDADE,UF,CEP,TELEFONE1,TELEFONE2,CELULAR,E_MAIL,2ª_a_6ª,SAB,DOM,FUNC.,VD_NOVO,NOME_GGL,NOME_GR
,,,,VD062,ATIVA,DSP RUBEM BERTA,62.0,"AV. JANDIRA, 1002",INDIANOPOLIS,SAO PAULO,SP,04080-005,(11)5055-2569,(11)5055-2432,(11)94302-3301,rberta@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,ANA SANTOS,OLIVEIRA JUNIOR
,,,,VD510,ATIVA,DSP RUBEM BERTA II,510.0,AVENIDA MOREIRA GUIMARAES NR 979,MOEMA,SAO PAULO,SP,04074-031,(11)5052-4881,(11)5051-5222,(11)94320-8573,rberta2@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,ANA SANTOS,OLIVEIRA JUNIOR
,,,,VD155,ATIVA,DSP SANTA CECILIA,155.0,"R. CONS. BROTERO, 978",SANTA CECILIA,SAO PAULO,SP,01232-010,(11)3826-7711,(11)3825-8050,(11)97599-6475,scecilia@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,BEATRIZ SOUZA,OLIVEIRA JUNIOR
,,,,VD694,ATIVA,DSP SANTA CECILIA II,694.0,"R DAS PALMEIRAS, 241",VILA BUARQUE,SAO PAULO,SP,01226-011,(11)2619-6168,(11)2619-6194,(11)97485-8706,scecilia2@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,BEATRIZ SOUZA,OLIVEIRA JUNIOR
,,,,VD688,ATIVA,DSP SANTANA DE PARNAIBA,688.0,"EST TENENTE MARQUES, 4764",CHACARA DO SOLAR (FAZENDINHA),SANTANA DE PARNAIBA,SP,06530-001,(11)4156-2826,(11)4156-8443,(11)96196-7664,sparnaiba@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,CESAR MENDONCA - INTERINO,OLIVEIRA JUNIOR
,,,,VD416,ATIVA,DSP SAO BENTO,416.0,"LARGO SAO BENTO, 10",CENTRO,SAO PAULO,SP,01029-010,(11)3229-9933,3228-5844,(11)99926-9270,sbento@dpsp.com.br,06 ÀS 20,06 ÀS 20,NÃO ABRE,CONVENCIONAL,-,VANESSA FILIPE,OLIVEIRA JUNIOR
,,,,VD017,ATIVA,DSP SAUDE,17.0,"R. CARNEIRO DA CUNHA, 47",SAUDE,SAO PAULO,SP,04144-000,(11)5584-5420,(11)2578-0090,(11)91033-5140,saude@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,ANDRE RAMOS,OLIVEIRA JUNIOR
,,,,VD571,ATIVA,DSP SCHILLING,571.0,"R SCHILLING, 321",VILA LEOPOLDINA,SAO PAULO,SP,05302-001,(11)3641-7278,3641-9787,(11)93052-9598,schilling@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,CESAR MENDONCA,OLIVEIRA JUNIOR
,,,,VD029,ATIVA,DSP SE,29.0,"PC. DA SE, 415",SE,SAO PAULO,SP,01001-000,(11)3106-1756,(11)3106-2262,(11)99822-1550,se@dpsp.com.br,06 ÀS 20,06 ÀS 20,06 ÀS 20,DOMINGOS E FERIADOS,-,VANESSA FILIPE,OLIVEIRA JUNIOR
,,,,VD367,ATIVA,DSP SHOPPING BARUERI,367.0,"R GENERAL DE D P R DA SILVA, 400 LOJA1 1013",NOVA ALDEINHA,BARUERI,SP,06440-180,(11)4688-6595,(11)4688-6596,(11)93071-5733,shopbarueri@dpsp.com.br,10 ÀS 22,10 ÀS 22,11 ÀS 20,DOMINGOS E FERIADOS,-,CESAR MENDONCA - INTERINO,OLIVEIRA JUNIOR
,,,,L2237,ATIVA,DSP SHOPPING FREI CANECA,2237.0,"R FREI CANECA, 569/ TERREOLOJA 141/142/143/144",CONSOLACAO,SAO PAULO,SP,01307-001,(11)4858-7540,4858-7547,(11)96864-9042,Frei.caneca@dpsp.com.br,08 ÀS 22,08 ÀS 22,08 ÀS 22,DOMINGOS E FERIADOS,-,FABIO FREITAS,OLIVEIRA JUNIOR
,,,,VD264,ATIVA,DSP SHOPPING HIGIENOPOLIS,264.0,AV HIGIENOPOLIS   646 - LOJA 141 E 142,HIGIENOPOLIS,SAO PAULO,SP,01238-000,(11)3666-9592,(11)3666-1160,(11)97450-3187,shophigienopolis@dpsp.com.br,07 ÀS 23,07 ÀS 23,08 ÀS 22,DOMINGOS E FERIADOS,-,BEATRIZ SOUZA,OLIVEIRA JUNIOR
,,,,VD337,ATIVA,DSP SHOPPING HIGIENOPOLIS II,337.0,"AV HIGIENOPOLIS, 618 LOJA 3023",HIGIENOPOLIS,SAO PAULO,SP,01238-000,(11)3823-2506,3823-2507,(11)97477-2711,shophigienopolis2@dpsp.com.br,10 ÀS 23,10 ÀS 23,12 ÀS 22,DOMINGOS E FERIADOS,-,BEATRIZ SOUZA,OLIVEIRA JUNIOR
,,,,VD470,ATIVA,DSP SHOPPING IBIRAPUERA I,470.0,AV IBIRAPUERA N 3103  NIVEL JURUPIS  LJS 102 103 E 104,INDIANOPOLIS,SAO PAULO,SP,04029-000,(11)5561-9613,5041-0978,(11)91031-1541,shopibirapuera@dpsp.com.br,10 ÀS 22,10 ÀS 22,11 ÀS 22,DOMINGOS E FERIADOS,-,ANTONIO MARCOS,OLIVEIRA JUNIOR
,,,,VD484,ATIVA,DSP SHOPPING IBIRAPUERA II,484.0,AV IBIRAPUERA N 3103 SUC 207 E 208  PISO,CAMPO BELO,SAO PAULO,SP,04029-000,(11)5094-0279,5093-1272,(11)91039-4800,shopibirapuera2@dpsp.com.br,10 ÀS 22,10 ÀS 22,11 ÀS 22,DOMINGOS E FERIADOS,-,ANTONIO MARCOS,OLIVEIRA JUNIOR
,,,,L2242,ATIVA,DSP SHOPPING JARDIM SUL,2242.0,"AV GIOVANNI GRONCHI, 5819",VILA ANDRADE,SAO PAULO,SP,05724-900,(11)3501-6733,3743-4356 ,(11)95782-8326,shopping.jardim@dpsp.com.br,09 ÀS 22,09 ÀS 22,10 ÀS 21,DOMINGOS E FERIADOS,-,FERNANDA PEREIRA,OLIVEIRA JUNIOR
,,,,VD411,ATIVA,DSP SHOPPING MORUMBI,411.0,AV ROQUE PETRONI JUNIOR N 1089  LJ96,MORUMBI,SAO PAULO,SP,04707-000,(11)5181-7824,(11)5181-3512,(11)97417-3582,shopmorumbi@dpsp.com.br,10 ÀS 22,10 ÀS 22,11 ÀS 21,DOMINGOS E FERIADOS,-,ANA SANTOS,OLIVEIRA JUNIOR
,,,,VD265,ATIVA,DSP SHOPPING NACOES UNIDAS,265.0,"AV DAS NACOES UNIDAS, 12901",BROOKLIN PAULISTA,SAO PAULO,SP,04578-000,(11)5505-7055,(11)5505-9657,(11)97463-9667,shopnacoesunidas@dpsp.com.br,08 ÀS 20,NÃO ABRE,NÃO ABRE,CONVENCIONAL,-,ANA SANTOS,OLIVEIRA JUNIOR
,,,,VD481,ATIVA,DSP SHOPPING OSASCO PLAZA,481.0,RUA TENENTE AVELAR PIRES DE AZEVEDO  N 81 LJS 208 E 20,CENTRO,OSASCO,SP,06016-060,(11)3654-1357,3681-1930,(11)91037-4942,shopoplaza@dpsp.com.br,07 ÀS 23,10 ÀS 22,11 ÀS 21,DOMINGOS E FERIADOS,-,BRUNA PANHOTA,OLIVEIRA JUNIOR
,,,,VD441,ATIVA,DSP SHOPPING PAULISTA,441.0,RUA TREZE DE MAIO N  1947 ARCOS 115 16 17 18,BELA VISTA,SAO PAULO,SP,01327-001,(11)3284-0271,3171-1558,(11)94227-7167,shoppaulista@dpsp.com.br,10 ÀS 22,10 ÀS 22,11 ÀS 21,DOMINGOS E FERIADOS,-,FABIO FREITAS,OLIVEIRA JUNIOR
,,,,VD461,ATIVA,DSP SHOPPING PLAZA SUL,461.0,"PC LEONOR KAUPA ,100 EUC 178/179/180",BOSQUE DA SAUDE,SAO PAULO,SP,04151-100,(11)5058-8043,5058-3626,(11)91021-9879,shopplazasul@dpsp.com.br,10 ÀS 22,10 ÀS 22,10 ÀS 22,DOMINGOS E FERIADOS,-,ANDRE RAMOS,OLIVEIRA JUNIOR
,,,,VD272,ATIVA,DSP SHOPPING SANTA CRUZ,272.0,"RUA DOMINGOS DE MORAES,  2564 - LOJA L6/T",SANTA CRUZ,SAO PAULO,SP,04036-100,(11)5081-3203,5081-2618,(11)91027-2553,shopscruz@dpsp.com.br,06 ÀS 23,06 ÀS 23,06 ÀS 23,DOMINGOS E FERIADOS,-,ANDRE RAMOS,OLIVEIRA JUNIOR
,,,,VD339,ATIVA,DSP SHOPPING TAMBORE,339.0,"AVENIDA PIRACEMA, 669 LOJA 400 C PISO TERREO",TAMBORE,BARUERI,SP,06460-030,(11)4191-2258,(11)4191-0984,(11)96410-9079,shoptambore@dpsp.com.br,10 ÀS 22,10 ÀS 22,10 ÀS 20,DOMINGOS E FERIADOS,-,CESAR MENDONCA - INTERINO,OLIVEIRA JUNIOR
,,,,VD514,ATIVA,DSP SHOPPING UNIAO II,514.0,AVENIDA DOS AUTONOMISTAS 1400  LOJA 111,VILA YARA,OSASCO,SP,06020-010,(11)3685-3194,3683-2884,(11)99611-5404,shopuniao2@dpsp.com.br,09 ÀS 22:20,09 ÀS 22:20,10 ÀS 21:20,DOMINGOS E FERIADOS,-,BRUNA PANHOTA,OLIVEIRA JUNIOR
,,,,VD517,ATIVA,DSP SHOPPING VILA OLIMPIA,517.0,RUA DAS OLIMPIADAS 360,VILA OLIMPIA,SAO PAULO,SP,04551-000,(11)3047-6143,3045-4117,(11)91029-4976,shopvolimpia@dpsp.com.br,10 ÀS 22,10 ÀS 22,10 ÀS 22,DOMINGOS E FERIADOS,-,MARIA IRACEMA,OLIVEIRA JUNIOR
,,,,VD266,ATIVA,DSP SHOPPING VILLA LOBOS,266.0,AV NACOES UNIDAS - 4.777 - LOJA 170 171,PINHEIROS,SAO PAULO,SP,05310-000,(11)3022-3761,3021-1896,(11)97109-0468,shopvlobos@dpsp.com.br,10 ÀS 22,10 ÀS 22,10 ÀS 22,DOMINGOS E FERIADOS,-,CESAR MENDONCA,OLIVEIRA JUNIOR
,,,,VD447,ATIVA,DSP SHOPPING WEST PLAZA II,447.0,AV ANTARTICA N  380   ARCO 1103  TERREO BLOCO A,AGUA BRANCA,SAO PAULO,SP,05003-020,(11)3673-9617,3862-3539,(11)95671-4301,shopwplaza2@dpsp.com.br,09 ÀS 22,09 ÀS 22,12 ÀS 20,DOMINGOS E FERIADOS,-,BEATRIZ SOUZA,OLIVEIRA JUNIOR
,,,,VD429,ATIVA,DSP SUMARE II,429.0,"AVENIDA SUMARÉ, 658",PERDIZES,SAO PAULO,SP,05016-090,(11)3862-1644,3675-3509,(11)99523-3727,sumare2@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,BEATRIZ SOUZA,OLIVEIRA JUNIOR
,,,,L2010,ATIVA,DSP SUMARE III,2010.0,"AVENIDA SUMARE, 16",PERDIZES,SAO PAULO,SP,05016-090,(11)3673-1342,3675-8605,(11)99639-9442,sumare3@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,BEATRIZ SOUZA,OLIVEIRA JUNIOR
,,,,L2039,ATIVA,DSP SUMARE IV,2039.0,"Avenida Sumaré, 1267 1297",PERDIZES,SAO PAULO,SP,05016-110,(11)2532-1984,2532-2332,(11)99711-6146,sumare4@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,BEATRIZ SOUZA,OLIVEIRA JUNIOR
,,,,VD969,ATIVA,DSP TABAPUA,969.0,"RUA TABAPUA, 1463",ITAIM BIBI,SAO PAULO,SP,04533-014,(11)2306-2795,2306-2598,(11)91027-2163,tabapua@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,MARIA IRACEMA,OLIVEIRA JUNIOR
,,,,VD922,ATIVA,DSP TAMBORE,922.0,"AL ARAGUAIA, 3207 LOJA 1 A",ALPHAVILLE INDUSTRIAL,BARUERI,SP,06455-000,(11)4191-8599,(11)4191-8465,(11)97237-3443,tambore@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,CESAR MENDONCA - INTERINO,OLIVEIRA JUNIOR
,,,,L2503,ATIVA,DSP TAMBORE II,2503.0,AV MARCOS PENT DE ULHOA ROD,TAMBORE,SANTANA DE PARNAIBA,SP,06543-001,(11) 4870-4396,(11) 4870-4395,(11)94211-0064,tambore2@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,CESAR MENDONCA - INTERINO,OLIVEIRA JUNIOR
,,,,L2616,ATIVA,DSP TAMBORE III,2616.0,"AV ALBERTO BYINGTON, 21",CIDADE TAMBORE,SANTANA DE PARNAIBA,SP,06537-470,-,-,-,tambore3@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,CESAR MENDONCA - INTERINO,OLIVEIRA JUNIOR
,,,,VD145,ATIVA,DSP TRIANON,145.0,"AV. PAULISTA , 1227 L 01",BELA VISTA,SAO PAULO,SP,01311-200,(11)3288-8061,(11)3284-9182,(11)95308-3400,trianon@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,FABIO FREITAS,OLIVEIRA JUNIOR
,,,,VD919,ATIVA,DSP VEIGA FILHO,919.0,"Rua Conselheiro Brotero, 1469  Loja 01",SANTA CECÍLIA,SAO PAULO,SP,01232-011,(11)3666-3712,3661-0130,(11)99642-1823,veigafilho@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,BEATRIZ SOUZA,OLIVEIRA JUNIOR
,,,,VD617,ATIVA,DSP VERBO DIVINO,617.0,"R VERBO DIVINO, 986 - CENTRO COMERCIAL 04",CHACARA SANTO ANTONIO,SAO PAULO,SP,04719-001,(11)5184-0312,(11)5183-3656,(11)97583-8842,vdivino@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,ANA SANTOS,OLIVEIRA JUNIOR
,,,,L2013,ATIVA,DSP VERGUEIRO,2013.0,"R VERGUEIRO, 4052",VILA MARIANA,SAO PAULO,SP,04102-002,(11)2532-7692,2532-7703,(11)97468-2852,vergueiro@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,VANESSA FILIPE,OLIVEIRA JUNIOR
,,,,VD132,ATIVA,DSP VICENTE RAO,132.0,"R. DR. ADEMAR QUEIROZ DE MORAIS, 1001-A",VILA  CARMEN,SAO PAULO,SP,04623-060,(11)5543-8938,(11)5543-0205,(11)97531-4345,vrao@dpsp.com.br,07 ÀS 00,07 ÀS 00,07 ÀS 00,DOMINGOS E FERIADOS,-,ANA SANTOS,OLIVEIRA JUNIOR
,,,,VD253,ATIVA,DSP VIEIRA DE MORAES,253.0,"RUA VIEIRA DE MORAES, 362",CAMPO BELO,SAO PAULO,SP,4617-000,(11)5533-3006,(11)5096-1565,(11)97494-4902,vmoraes@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,ANA SANTOS,OLIVEIRA JUNIOR
,,,,VD283,ATIVA,DSP VIEIRA DE MORAES II,283.0,"Rua Vieira de Moraes, 1377",CAMPO BELO,SAO PAULO,SP,04617-014,(11)2305-2892,(11)2305-2899,(11)99561-0211,vmoraes2@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,ANA SANTOS,OLIVEIRA JUNIOR
,,,,VD600,ATIVA,DSP VILA ANDRADE,600.0,"AV GIOVANNI GRONCHI, 6700",VILA ANDRADE,SAO PAULO,SP,05724-002,(11)3741-0973,3742-1838,(11)94361-0312,vandrade@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,FERNANDA PEREIRA,OLIVEIRA JUNIOR
,,,,VD982,ATIVA,DSP VILA ANDRADE II,982.0,"RUA DEPUTADO JOAO SUSSUMU HIRATA, 615",VILA ANDREADE,SAO PAULO,SP,05715-010,(11)2306-8394,2306-8419,(11)97393-3216,vandrade2@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,FERNANDA PEREIRA,OLIVEIRA JUNIOR
,,,,VD247,ATIVA,DSP VILA BEATRIZ,247.0,"R JUDITE, 109 LOJA 01",VILA BEATRIZ,SAO PAULO,SP,05455-060,(11)3037-7280,3037-7442,(11)97118-3475,vbeatriz@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,CESAR MENDONCA,OLIVEIRA JUNIOR
,,,,VD088,ATIVA,DSP VILA CLEMENTINO,88.0,"R. PEDRO DE TOLEDO, 763",VILA CLEMENTINO,SAO PAULO,SP,04039-032,(11)5549-9647,(11)5571-5663,(11)91033-5256,vclementino@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,ANTONIO MARCOS,OLIVEIRA JUNIOR
,,,,VD741,ATIVA,DSP VILA CLEMENTINO II,741.0,"AV ONZE DE JUNHO, 473",VILA CLEMENTINO,SAO PAULO,SP,04041-051,(11)5083-8566,5539-0035,(11)91035-6520,vilaclementino2@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,ANTONIO MARCOS,OLIVEIRA JUNIOR
,,,,VD702,ATIVA,DSP VILA CLEMENTINO III,702.0,"RUA LOEFGREN, 848 850 E 860",VILA CLEMENTINO,SAO PAULO,SP,04040-000,(11)2532-6152,2532-4235,(11)91038-3552,vilaclementino3@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,ANDRE RAMOS,OLIVEIRA JUNIOR
,,,,L2097,ATIVA,DSP VILA CLEMENTINO IV,2097.0,"Av. Dr. Altino Arantes, 307",Vila Clementino,SAO PAULO,SP,04042-032,(11)5071-9256,5071-9380,(11)91035-0187,v.clementino4@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,ANTONIO MARCOS,OLIVEIRA JUNIOR
,,,,VD174,ATIVA,DSP VILA DOS REMEDIOS,174.0,"AV. DOS REMEDIOS, 649",VL. DOS REMEDIOS,OSASCO,SP,06298-004,(11)3696-8422,3696-8630,(11)91037-3494,vremedios@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,BRUNA PANHOTA,OLIVEIRA JUNIOR
,,,,VD214,ATIVA,DSP VILA LEOPOLDINA,214.0,"RUA CARLOS WEBER, 375",VILA LEOPOLDINA,SAO PAULO,SP,05087-000,(11)3831-4702,3834-2624,(11)95058-7012,vleopoldina@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,CESAR MENDONCA,OLIVEIRA JUNIOR
,,,,VD019,ATIVA,DSP VILA MADALENA,19.0,"R. TEODORO SAMPAIO, 2014",PINHEIROS,SAO PAULO,SP,05406-150,(11)3815-8829,(11)3813-6421,(11)93447-7512,vmadalena@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,MARIA IRACEMA,OLIVEIRA JUNIOR
,,,,VD070,ATIVA,DSP VILA MARIANA,70.0,"R. DOMINGOS DE MORAES, 418 e 424",VILA MARIANA,SAO PAULO,SP,04010-000,(11)5579-3694,(11)5539-3813,(11)99928-7747,vmariana@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,VANESSA FILIPE,OLIVEIRA JUNIOR
,,,,VD989,ATIVA,DSP VILA MARIANA II,989.0,Avenida Conselheiro Rodrigues Alves 484 494 496-496 A,Vila Mariana,SAO PAULO,SP,04014-001,(11)5082-2234,5083-2549,(11)99875-5481,vmariana2@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,VANESSA FILIPE,OLIVEIRA JUNIOR
,,,,VD255,ATIVA,DSP VILA NOVA CONCEICAO,255.0,"RUA BALTHAZAR DA VEIGA,  284",VILA NOVA CONCEICAO,SAO PAULO,SP,04510-000,(11)3846-0044,3842-3214,(11)91026-3615,vnconceicao@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,MARIA IRACEMA,OLIVEIRA JUNIOR
,,,,VD998,ATIVA,DSP VILA NOVA CONCEICAO II,998.0,"Avenida Santo Amaro, 1207 E 1215",VILA NOVA CONCEIÇÃO,SAO PAULO,SP,04505-001,(11)3842-5141,3045-1172,(11)91026-3565,vnconceicao2@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,MARIA IRACEMA,OLIVEIRA JUNIOR
,,,,L2096,ATIVA,DSP VILA OSASCO,2096.0,"AV SANTO ANTONIO, 1190",VILA OSASCO,OSASCO,SP,06083-200,(11)3370-4427,3480-0249,(11)91034-4756,v.osasco@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,BRUNA PANHOTA,OLIVEIRA JUNIOR
,,,,L2095,ATIVA,DSP VILA ROMANA I,2095.0,"R CLELIA, 1547",AGUA BRANCA,SAO PAULO,SP,05042-000,(11)3873-5799,3875-3691 ,(11)94322-3523,vila.romana@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,CESAR MENDONCA,OLIVEIRA JUNIOR
,,,,L2183,ATIVA,DSP VILA ROMANA II,2183.0,R CLAUDIO,AGUA BRANCA,SAO PAULO,SP,05043-000,(11)3864-9431,3864-9542,(11)97417-4437,vila.romana2@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,CESAR MENDONCA,OLIVEIRA JUNIOR
,,,,VD626,ATIVA,DSP VILA SAO FRANCISCO,626.0,"AV DOUTOR CANDIDO MOTTA FILHO, 670 680",CIDADE SAO FRANCISCO,SAO PAULO,SP,05351-000,(11)3714-4593,3714-0417,(11)91037-4225,vsfrancisco@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,BRUNA PANHOTA,OLIVEIRA JUNIOR
,,,,VD827,ATIVA,DSP VILA SONIA,827.0,"R DAVID BEN GURION, 1001 LOJA 01 02 03 E 04 ESCRITORIO",JARDIM MONTE KEMEL,SAO PAULO,SP,05634-001,(11)3744-4159,3744-4162,(11)94214-7351,vilasonia@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,FERNANDA PEREIRA,OLIVEIRA JUNIOR
,,,,L2282,ATIVA,DSP VILA SONIA II,2282.0,"AV PROF FRANCISCO MORATO,2878",BUTANTA,SAO PAULO,SP,05512-300,(11)2924-8527,2924-8503,(11)95692-6543,vila.sonia2@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,FERNANDA PEREIRA,OLIVEIRA JUNIOR
,,,,VD475,ATIVA,DSP VILABOIM,475.0,PRACA VILABOIM NS 64 E 58 LJS01 E 02,HIGIENOPOLIS,SAO PAULO,SP,01241-010,(11)3826-2783,3666-9311,(11)99522-0129,vboim@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,BEATRIZ SOUZA,OLIVEIRA JUNIOR
,,,,L2015,ATIVA,DSP VILLA LOBOS (MATRIZ),2015.0,AVENIDA MANUEL BANDEIRA,VILA LEOPOLDINA,SAO PAULO,SP,05317-020,(11)3642-1305,3642-1312,(11)93244-4107,vlobos@dpsp.com.br,07 ÀS 20,NÃO ABRE,NÃO ABRE,CONVENCIONAL,-,CESAR MENDONCA,OLIVEIRA JUNIOR
,,,,VD185,ATIVA,DSP VITAL BRASIL,185.0,"AV DOUTOR VITAL BRASIL, 1250 LOJA 02",BUTANTA,SAO PAULO,SP,05503-000,(11)3726-7059,3726-2817,(11)97568-7924,vbrasil@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,BRUNA PANHOTA,OLIVEIRA JUNIOR
